field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1624346545,258.4894784,185.4967376,-36.4568357,1,-1.983642578,0.793457031,-0.701904297,-0.362060547,-0.758544922,0.526367188
1624346547,259.5613076,184.0629464,-39.91245994,1,-1.892089844,0.823974609,-0.915527344,-0.363525391,-0.759765625,0.528564453
1624346550,259.5613076,183.7044986,-37.49352297,1,-1.983642578,0.793457031,-0.701904297,-0.353759766,-0.758789063,0.526123047
1624346553,259.7399458,184.6006181,-38.01186661,1,-2.044677734,0.549316406,-0.640869141,-0.357910156,-0.760498047,0.527832031
1624346556,259.025393,183.1668269,-39.04855388,1,-1.983642578,1.007080078,-0.885009766,-0.355712891,-0.757324219,0.523681641
1624346558,258.3108402,183.8837225,-38.70299145,1,-1.739501953,0.9765625,-0.732421875,-0.360595703,-0.762939453,0.527832031
1624346561,259.5613076,183.3460508,-36.80239812,1,-1.953125,1.007080078,-0.762939453,-0.352539063,-0.763183594,0.529541016
1624346564,258.4894784,183.7044986,-37.83908539,1,-2.075195313,1.007080078,-0.854492188,-0.351074219,-0.761474609,0.523681641
1624346566,258.3108402,183.8837225,-37.32074176,1,-1.892089844,0.854492188,-0.701904297,-0.353271484,-0.7578125,0.531982422
1624346569,259.5613076,182.2707074,-38.18464782,1,-2.075195313,0.854492188,-0.518798828,-0.349365234,-0.759033203,0.527587891
1624346572,259.2040312,183.3460508,-37.14796055,1,-1.922607422,1.068115234,-0.701904297,-0.350585938,-0.7578125,0.527587891
1624346574,259.5613076,182.2707074,-38.87577266,1,-1.983642578,1.007080078,-0.640869141,-0.352539063,-0.760009766,0.526123047
1624346577,258.132202,181.195364,-37.83908539,1,-2.166748047,0.732421875,-0.732421875,-0.350585938,-0.764160156,0.531738281
1624346580,259.2040312,182.2707074,-36.80239812,1,-1.770019531,0.762939453,-0.579833984,-0.351806641,-0.760498047,0.524169922
1624346582,259.5613076,182.6291552,-38.87577266,1,-1.922607422,0.549316406,-0.579833984,-0.348876953,-0.759277344,0.531738281
1624346585,257.4176492,183.7044986,-38.18464782,1,-1.922607422,1.159667969,-0.885009766,-0.350097656,-0.760009766,0.529785156
1624346588,256.7030964,181.9122596,-37.14796055,1,-1.770019531,1.007080078,-0.823974609,-0.352294922,-0.758544922,0.531494141
1624346591,257.5962874,182.8083791,-38.01186661,1,-1.861572266,0.946044922,-0.579833984,-0.350585938,-0.762451172,0.530761719
1624346593,259.7399458,182.0914835,-36.28405449,1,-2.044677734,0.732421875,-0.732421875,-0.349609375,-0.762207031,0.532226563
1624346596,259.918584,181.9122596,-37.83908539,1,-2.105712891,0.732421875,-0.457763672,-0.347167969,-0.763671875,0.529296875
1624346599,259.7399458,182.4499313,-38.01186661,1,-2.044677734,0.701904297,-0.793457031,-0.350097656,-0.764648438,0.533935547
1624346601,260.0972222,180.6576923,-36.28405449,1,-2.044677734,0.701904297,-0.823974609,-0.346191406,-0.761962891,0.528808594
1624346604,54.48465163,457.2001717,195.761113,1,-0.183105469,2.899169922,-1.098632813,-0.471679688,-0.593994141,0.6484375
1624346607,55.91375725,460.4262019,197.4889251,1,-1.983642578,1.312255859,-0.915527344,-0.470214844,-0.592773438,0.641601563
1624346609,-20.36475504,100.3653846,41.46749084,1,-1.708984375,0.762939453,-0.061035156,-0.560058594,-0.345458984,0.755615234
1624346612,-18.04245841,59.68155907,41.64027205,1,-24.87182617,-1.434326172,-5.065917969,-0.147460938,-0.338623047,0.943115234
1624346615,1.429105617,82.44299451,-26.2627442,1,-2.075195313,1.678466797,0.366210938,-0.338867188,-0.118164063,0.942626953
1624346617,0,81.7260989,-29.71836844,1,-2.044677734,1.037597656,-0.335693359,-0.355957031,-0.116699219,0.938964844
1624346620,-0.357276404,83.51833791,-30.75505571,1,-2.105712891,0.671386719,-0.518798828,-0.358886719,-0.113037109,0.936279297
1624346623,0.714552808,82.44299451,-27.64499389,1,-1.068115234,-3.692626953,-1.831054688,-0.350341797,-0.138427734,0.9296875
1624346626,-0.178638202,82.62221841,-30.23671207,1,-2.227783203,0.549316406,-0.946044922,-0.356445313,-0.123535156,0.932373047
1624346628,0.178638202,82.62221841,-30.23671207,1,-2.349853516,0.885009766,-0.030517578,-0.364746094,-0.120605469,0.939453125
1624346631,-0.535914606,83.33911401,-29.2000248,1,-2.685546875,0.122070313,-0.579833984,-0.364501953,-0.123779297,0.934814453
1624346634,-0.535914606,81.1884272,-29.54558723,1,-1.159667969,1.129150391,-0.671386719,-0.36328125,-0.115966797,0.941162109
1624346636,-1.607743819,82.2637706,-29.54558723,1,-2.624511719,0.549316406,-0.579833984,-0.364257813,-0.120117188,0.936767578
1624346639,0.535914606,84.05600962,-29.2000248,1,-2.502441406,0.274658203,-0.732421875,-0.368164063,-0.1171875,0.930664063
1624346642,0.357276404,82.80144231,-30.40949328,1,-1.647949219,1.037597656,-1.037597656,-0.360595703,-0.118408203,0.932617188
1624346644,-0.178638202,83.33911401,-32.65564904,1,0.640869141,-6.927490234,-4.638671875,-0.349853516,-0.124023438,0.948974609
1624346647,0,83.15989011,-31.44618056,1,-2.166748047,1.129150391,-0.946044922,-0.361328125,-0.118408203,0.938720703
1624346650,0.89319101,83.69756181,-33.00121146,1,-1.892089844,1.220703125,-0.457763672,-0.369140625,-0.114990234,0.939697266
1624346652,0.714552808,82.44299451,-30.75505571,1,-2.105712891,0.854492188,-1.098632813,-0.363525391,-0.115966797,0.9375
1624346655,-0.535914606,82.98066621,-31.61896177,1,-2.410888672,0.366210938,-0.610351563,-0.366455078,-0.114990234,0.929443359
1624346658,-1.250467415,84.05600962,-30.92783692,1,-1.861572266,0.9765625,-0.946044922,-0.363037109,-0.116943359,0.940429688
1624346661,-2.143658425,81.7260989,-31.10061813,1,-1.892089844,0.946044922,-0.671386719,-0.367919922,-0.113525391,0.934326172
1624346663,-1.250467415,82.2637706,-30.5822745,1,-1.617431641,1.373291016,-0.610351563,-0.356689453,-0.112304688,0.938476563
1624346666,-1.250467415,82.62221841,-31.96452419,1,-1.800537109,1.495361328,-0.549316406,-0.364013672,-0.116699219,0.936279297
1624346669,0.178638202,83.69756181,-30.5822745,1,-2.288818359,0.640869141,-0.732421875,-0.361083984,-0.113769531,0.938476563
1624346671,-0.535914606,84.41445742,-32.31008661,1,-2.075195313,1.068115234,-0.457763672,-0.367919922,-0.116943359,0.939697266
1624346674,-0.89319101,84.05600962,-30.5822745,1,-1.556396484,1.159667969,-0.610351563,-0.361328125,-0.11328125,0.939941406
1624346677,-1.607743819,83.33911401,-32.65564904,1,-1.556396484,0.854492188,-0.396728516,-0.36328125,-0.112060547,0.939453125
1624346679,-1.071829212,82.44299451,-30.75505571,1,-1.647949219,0.793457031,-0.671386719,-0.360595703,-0.112792969,0.947021484
1624346682,-0.178638202,84.05600962,-30.92783692,1,-1.739501953,1.159667969,-0.640869141,-0.359375,-0.110595703,0.942626953
